A,P,N,V,Z,S,H,C,G
-0.1128,0.3872,-0.0077,0.0122,0.0001,0.0015,0.0015,0.0003,0.0003
-0.1067,0.3933,-0.0101,-0.0101,0.0183,-0.0000,-0.0000,-0.0010,-0.0010
-0.1081,0.3919,-0.0097,-0.0097,0.0169,0.0004,0.0004,-0.0005,0.0010
-0.1081,0.3919,-0.0097,-0.0097,0.0169,0.0004,0.0004,0.0010,-0.0005
-0.1086,0.3914,-0.0095,-0.0095,0.0164,0.0006,0.0006,0.0005,0.0005
-0.1066,0.3934,-0.0102,-0.0102,0.0184,-0.0015,0.0000,-0.0005,-0.0005
-0.1070,0.3930,-0.0100,-0.0100,0.0180,-0.0013,-0.0004,-0.0003,0.0005
-0.1070,0.3930,-0.0100,-0.0100,0.0180,-0.0013,-0.0004,0.0005,-0.0003
-0.1072,0.3928,-0.0099,-0.0099,0.0178,-0.0012,-0.0006,0.0003,0.0003
-0.1066,0.3934,-0.0102,-0.0102,0.0184,0.0000,-0.0015,-0.0005,-0.0005
-0.1070,0.3930,-0.0100,-0.0100,0.0180,-0.0004,-0.0013,-0.0003,0.0005
-0.1070,0.3930,-0.0100,-0.0100,0.0180,-0.0004,-0.0013,0.0005,-0.0003
-0.1072,0.3928,-0.0099,-0.0099,0.0178,-0.0006,-0.0012,0.0003,0.0003
-0.1086,0.3914,-0.0095,-0.0095,0.0164,0.0015,0.0015,-0.0003,-0.0003
-0.1088,0.3912,-0.0094,-0.0094,0.0162,0.0013,0.0013,-0.0002,0.0003
-0.1088,0.3912,-0.0094,-0.0094,0.0162,0.0013,0.0013,0.0003,-0.0002
-0.1089,0.3911,-0.0093,-0.0093,0.0161,0.0012,0.0012,0.0002,0.0002
-0.0828,0.4172,-0.0174,-0.0174,-0.0151,-0.0000,-0.0000,-0.0010,-0.0010
-0.0842,0.4158,-0.0169,-0.0169,-0.0165,0.0004,0.0004,-0.0005,0.0010
-0.0842,0.4158,-0.0169,-0.0169,-0.0165,0.0004,0.0004,0.0010,-0.0005
-0.0846,0.4154,-0.0168,-0.0168,-0.0169,0.0006,0.0006,0.0005,0.0005
