texture=?,root=?,color=?,surface=?,sound=?,umbilicus=?
0.4568,0.2037,-0.0278,0.0278,-0.0247,-0.0247
0.4383,0.2037,-0.0278,0.0278,-0.0432,0.0123
0.4383,0.2037,-0.0278,0.0278,-0.0432,0.0123
0.4321,0.1790,0.0772,-0.0278,-0.0247,-0.0247
0.4136,0.1790,0.0772,-0.0278,-0.0432,0.0123
0.4136,0.1790,0.0772,-0.0278,-0.0432,0.0123
0.3951,0.1790,0.0772,-0.0278,0.0494,-0.0617
0.2654,0.1790,0.0772,-0.0278,0.0864,0.0309
0.2654,0.1790,0.0772,-0.0278,0.0864,0.0309
0.4321,0.1790,0.0772,-0.0278,-0.0247,-0.0247
0.4136,0.1790,0.0772,-0.0278,-0.0432,0.0123
0.4136,0.1790,0.0772,-0.0278,-0.0432,0.0123
0.1327,-0.4352,-0.0463,0.0093,-0.0247,-0.0247
0.1142,-0.4352,-0.0463,0.0093,-0.0432,0.0123
0.1142,-0.4352,-0.0463,0.0093,-0.0432,0.0123
0.0957,-0.4352,-0.0463,0.0093,0.0494,-0.0617
-0.0340,-0.4352,-0.0463,0.0093,0.0864,0.0309
-0.0340,-0.4352,-0.0463,0.0093,0.0864,0.0309
0.1327,-0.4352,-0.0463,0.0093,-0.0247,-0.0247
0.1142,-0.4352,-0.0463,0.0093,-0.0432,0.0123
0.1142,-0.4352,-0.0463,0.0093,-0.0432,0.0123
0.1265,-0.4228,-0.0340,-0.0093,-0.0247,-0.0247
0.1080,-0.4228,-0.0340,-0.0093,-0.0432,0.0123
0.1080,-0.4228,-0.0340,-0.0093,-0.0432,0.0123
0.0895,-0.4228,-0.0340,-0.0093,0.0494,-0.0617
-0.0401,-0.4228,-0.0340,-0.0093,0.0864,0.0309
-0.0401,-0.4228,-0.0340,-0.0093,0.0864,0.0309
0.1265,-0.4228,-0.0340,-0.0093,-0.0247,-0.0247
0.1080,-0.4228,-0.0340,-0.0093,-0.0432,0.0123
0.1080,-0.4228,-0.0340,-0.0093,-0.0432,0.0123
-0.0432,-0.4167,0.0926,0.0278,-0.0247,-0.0247
-0.0617,-0.4167,0.0926,0.0278,-0.0432,0.0123
-0.0617,-0.4167,0.0926,0.0278,-0.0432,0.0123
-0.0802,-0.4167,0.0926,0.0278,0.0494,-0.0617
-0.2099,-0.4167,0.0926,0.0278,0.0864,0.0309
-0.2099,-0.4167,0.0926,0.0278,0.0864,0.0309
-0.0432,-0.4167,0.0926,0.0278,-0.0247,-0.0247
-0.0617,-0.4167,0.0926,0.0278,-0.0432,0.0123
-0.0617,-0.4167,0.0926,0.0278,-0.0432,0.0123
-0.0679,-0.3117,0.0679,-0.0278,-0.0247,-0.0247
-0.0864,-0.3117,0.0679,-0.0278,-0.0432,0.0123
-0.0864,-0.3117,0.0679,-0.0278,-0.0432,0.0123
-0.1049,-0.3117,0.0679,-0.0278,0.0494,-0.0617
-0.2346,-0.3117,0.0679,-0.0278,0.0864,0.0309
-0.2346,-0.3117,0.0679,-0.0278,0.0864,0.0309
-0.0679,-0.3117,0.0679,-0.0278,-0.0247,-0.0247
