F1,F2,F3,F4,F5,F6,F7,F8,F9
-5.058593749999999722e-02,-7.384207589285714246e-02,8.932756696428571785e-02,-2.855980282738095344e-01,8.125000000000000278e-02,-7.272600446428571785e-02,-1.133510044642857123e-01,-5.963076636904762057e-02,2.031250000000000069e-02
-5.014880952380952606e-02,-7.273530505952380265e-02,8.872302827380952606e-02,-2.851609002976190355e-01,7.194010416666667129e-02,-8.203590029761904934e-02,-1.226609002976190438e-01,3.358909970238094927e-02,-4.635416666666666852e-02
-4.733072916666666852e-02,-6.894066220238095899e-02,8.351469494047619735e-02,-2.702055431547619180e-01,6.912202380952381375e-02,-5.599423363095237804e-02,-2.809942336309523836e-01,5.963076636904762057e-02,4.635416666666666852e-02
-4.635416666666666852e-02,-6.894066220238095899e-02,8.730933779761904101e-02,-2.553245907738095344e-01,1.017764136904761862e-01,-2.553245907738095344e-01,8.730933779761904101e-02,-6.894066220238095899e-02,-4.635416666666666852e-02
-4.353608630952381098e-02,-6.514601934523810145e-02,8.210100446428571230e-02,-2.403692336309523891e-01,9.895833333333332871e-02,-2.292829241071428492e-01,1.133510044642857123e-01,-2.272739955357142849e-01,4.635416666666666852e-02
-4.255952380952381098e-02,-6.275576636904761640e-02,8.099423363095238637e-02,-2.393926711309523891e-01,7.009858630952381375e-02,-2.581426711309524058e-01,1.226609002976190438e-01,6.894066220238095899e-02,-2.046874999999999944e-01
-3.042224702380952328e-02,-4.780040922619047811e-02,6.224423363095238360e-02,-1.199730282738095261e-01,5.796130952380952606e-02,-9.980933779761905211e-02,2.809942336309523836e-01,2.272739955357142849e-01,2.046874999999999944e-01
-4.776785714285713969e-02,-7.102399553571428492e-02,5.918433779761905073e-02,-2.917829241071428492e-01,1.136067708333333287e-01,8.105933779761904934e-02,-2.615745907738095122e-01,-3.456566220238094927e-02,-1.197916666666666748e-02
-4.733072916666666852e-02,-7.035435267857143016e-02,5.814267113095238082e-02,-2.903692336309524058e-01,1.131696428571428575e-01,7.272600446428571785e-02,-2.699079241071428714e-01,-4.289899553571428770e-02,1.197916666666666748e-02
-4.635416666666666852e-02,-6.796409970238095899e-02,5.703590029761904795e-02,-2.893926711309524058e-01,8.430989583333332871e-02,8.203590029761904934e-02,-2.987676711309523725e-01,3.456566220238094927e-02,-2.031250000000000069e-02
-4.537760416666666852e-02,-6.655040922619047394e-02,5.495256696428571508e-02,-2.855980282738095344e-01,8.333333333333332871e-02,5.599423363095237804e-02,-3.248093377976190577e-01,4.289899553571428770e-02,2.031250000000000069e-02
-3.139880952380952328e-02,-5.300874255952380681e-02,5.324125744047619041e-02,-1.161039806547619069e-01,2.575985863095238138e-01,2.553245907738095344e-01,2.615745907738095122e-01,-7.175874255952380265e-02,-2.031250000000000069e-02
-3.042224702380952328e-02,-5.159505208333333565e-02,5.115792410714285754e-02,-1.123093377976190493e-01,2.566220238095238138e-01,2.292829241071428492e-01,2.699079241071428714e-01,-9.780040922619047394e-02,2.031250000000000069e-02
-2.760416666666666574e-02,-4.498232886904762057e-02,4.876767113095237943e-02,-1.094912574404761918e-01,8.615141369047618625e-02,2.581426711309524058e-01,2.987676711309523725e-01,7.175874255952380265e-02,-4.635416666666666852e-02
-2.478608630952380820e-02,-4.118768601190476303e-02,4.355933779761905073e-02,-9.453590029761904656e-02,8.333333333333332871e-02,9.980933779761905211e-02,3.248093377976190577e-01,9.780040922619047394e-02,4.635416666666666852e-02
-2.283296130952380820e-02,-2.513625372023809423e-01,1.222237723214285726e-01,1.121791294642857095e-01,-2.594401041666666852e-01,-5.024646577380952051e-02,-5.508277529761904795e-02,-4.094587053571428770e-02,-1.933593750000000069e-02
-2.239583333333333356e-02,-2.481073288690476275e-01,1.196010044642857179e-01,1.102260044642857095e-01,-2.566220238095238138e-01,-4.245256696428571092e-02,-7.928292410714285476e-02,-6.514601934523810145e-02,1.933593750000000069e-02
-2.195870535714285546e-02,-2.438755580357142849e-01,1.179547991071428631e-01,1.092494419642857095e-01,-2.478515625000000111e-01,-6.947079613095237527e-02,-1.063011532738095261e-01,4.094587053571428770e-02,-4.353608630952381098e-02
-2.098214285714285546e-02,-2.307617187500000111e-01,1.109049479166666630e-01,1.036132812499999944e-01,-2.357142857142857095e-01,-4.527064732142856845e-02,-2.553152901785714080e-01,6.514601934523810145e-02,4.353608630952381098e-02
-2.128906250000000069e-02,-2.432059151785714302e-01,1.175827752976190410e-01,9.950241815476190688e-02,-2.575985863095238138e-01,-7.921781994047619180e-02,5.508277529761904795e-02,-9.216424851190475886e-02,-4.353608630952381098e-02
-2.031250000000000069e-02,-2.300920758928571563e-01,1.105329241071428548e-01,9.386625744047619180e-02,-2.454613095238095122e-01,-5.501767113095237804e-02,7.928292410714285476e-02,-2.411783854166666685e-01,4.353608630952381098e-02
-1.933593750000000069e-02,-2.141601562500000111e-01,1.063011532738095261e-01,9.104817708333333426e-02,-2.184430803571428548e-01,-2.161690848214285754e-01,1.063011532738095261e-01,9.216424851190475886e-02,-1.925502232142857206e-01
-1.651785714285714315e-02,-1.040597098214285782e-01,7.823195684523809312e-02,6.677362351190475886e-02,-1.111607142857142794e-01,-6.715494791666666574e-02,2.553152901785714080e-01,2.411783854166666685e-01,1.925502232142857206e-01
