Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7,Bit 8,Bit 9,Bit 10
1.988888888888905304e-02,-8.390079365079350371e-02,-9.017460317460311570e-02,-9.569841269841268538e-02,-4.888888888888871451e-03,-1.074642857142855817e-01,2.365873015873012908e-02,-9.692460317460313557e-02,-2.924603174603170909e-03,-1.215714285714285386e-01
2.398809523809553729e-02,7.652380952380839763e-02,-7.833333333333261650e-03,1.121309523809525255e-01,7.380952380952356985e-03,1.092023809523808009e-01,-5.261904761904766248e-03,7.519047619047608544e-02,1.980952380952379077e-02,2.886904761904762404e-02
1.531349206349165437e-02,6.800396825396683165e-02,8.565873015873040619e-02,9.935714285714279670e-02,-2.900793650793675495e-03,1.144206349206348255e-01,-6.734126984126988236e-03,8.225396825396819045e-02,1.551587301587297948e-02,-3.088888888888887546e-02
9.630952380952677305e-03,7.152380952380800461e-02,8.567857142857164543e-02,9.491666666666662144e-02,1.297619047619062195e-03,1.132976190476189804e-01,-8.202380952380931498e-03,7.440476190476183471e-02,-2.751190476190474091e-02,2.496428571428571316e-02
3.023809523809421751e-03,7.657142857142727743e-02,1.013333333333335529e-01,8.732142857142841108e-02,-3.440476190476163092e-03,1.247380952380952035e-01,-9.440476190476183166e-03,1.036666666666665876e-01,-2.039285714285713966e-02,-2.338095238095238074e-02
2.504761904761870078e-02,-1.341666666666668783e-01,-1.152380952380953061e-01,-1.152857142857143247e-01,-8.499999999999988468e-03,-1.069761904761905441e-01,-1.214285714285713233e-02,-1.512857142857144677e-01,1.899999999999996830e-02,3.954761904761902591e-02
4.633333333333325421e-02,-1.385674603174602559e-01,-8.879365079365074409e-02,-1.185436507936507983e-01,-1.611507936507940511e-02,-8.680555555555559410e-02,-1.182936507936510617e-02,-1.553769841269842522e-01,4.106349206349199643e-02,-3.136507936507936661e-02
1.036904761904770128e-02,-1.231904761904763085e-01,-9.863095238095245798e-02,-1.288452380952380683e-01,-1.052380952380952209e-02,-9.320238095238111975e-02,-1.435714285714284263e-02,-1.453571428571431012e-01,-2.160714285714285254e-02,6.534523809523805349e-02
6.035714285714567640e-03,-4.374999999999981681e-02,-2.697619047619037244e-02,-1.628809523809522930e-01,-3.655952380952379871e-02,5.833333333333428142e-04,-2.113095238095237874e-02,-1.825119047619046531e-01,-4.339285714285716355e-02,-4.941666666666662960e-02
2.152380952380943818e-02,6.789285714285636653e-02,1.073571428571435671e-01,1.171190476190478447e-01,7.809523809523805267e-03,2.375000000000001416e-02,-1.209523809523813803e-02,6.430952380952378866e-02,1.514285714285714540e-02,2.719047619047619893e-02
1.389285714285672102e-02,6.367857142857009933e-02,9.898809523809551369e-02,1.007023809523809321e-01,-3.857142857142862799e-03,1.047261904761903339e-01,-3.154761904761911942e-03,7.546428571428570597e-02,1.171428571428570833e-02,-2.215476190476189933e-02
7.452380952380870116e-03,6.979761904761769276e-02,9.755952380952413738e-02,9.509523809523801052e-02,6.785714285714580449e-04,9.949999999999992184e-02,-1.119047619047603727e-03,6.561904761904761851e-02,-1.826190476190474657e-02,2.367857142857141342e-02
1.071428571429583476e-04,7.680952380952245362e-02,9.658333333333356252e-02,9.039285714285702489e-02,-2.059523809523775874e-03,1.179523809523809613e-01,3.523809523809537554e-03,9.028571428571423307e-02,-1.480952380952381409e-02,-1.878571428571428753e-02
